timestamp,id,dlc,data,flag
1478191102.479145,0316,8,45 29 24 ff 29 24 00 ff,S
1478191425.871385,0316,8,45 29 24 ff 29 24 00 ff,S
1478191516.335977,0316,8,45 29 24 ff 29 24 00 ff,S
1478191380.386055,0316,8,45 29 24 ff 29 24 00 ff,S
1478191535.939554,0316,8,45 29 24 ff 29 24 00 ff,S
1478192611.399473,0316,8,45 29 24 ff 29 24 00 ff,S
1478191044.112598,0316,8,45 29 24 ff 29 24 00 ff,S
1478191803.371395,0316,8,45 29 24 ff 29 24 00 ff,S
1478191970.001829,0316,8,45 29 24 ff 29 24 00 ff,S
1478191647.245381,0316,8,45 29 24 ff 29 24 00 ff,S
1478191130.998865,0316,8,45 29 24 ff 29 24 00 ff,S
1478192086.603592,0316,8,45 29 24 ff 29 24 00 ff,S
1478192390.827908,0316,8,45 29 24 ff 29 24 00 ff,S
1478192743.017494,0316,8,45 29 24 ff 29 24 00 ff,S
1478191213.108692,0316,8,45 29 24 ff 29 24 00 ff,S
1478192598.658995,0316,8,45 29 24 ff 29 24 00 ff,S
1478192814.392649,0316,8,45 29 24 ff 29 24 00 ff,S
1478191434.356068,0316,8,45 29 24 ff 29 24 00 ff,S
1478192955.961735,0316,8,45 29 24 ff 29 24 00 ff,S
1478191478.995605,0316,8,45 29 24 ff 29 24 00 ff,S
1478192742.994871,0316,8,45 29 24 ff 29 24 00 ff,S
1478192046.421232,0316,8,45 29 24 ff 29 24 00 ff,S
1478191674.819803,0316,8,45 29 24 ff 29 24 00 ff,S
1478192709.317184,0316,8,45 29 24 ff 29 24 00 ff,S
1478192689.711222,0316,8,45 29 24 ff 29 24 00 ff,S
1478192302.341825,0316,8,45 29 24 ff 29 24 00 ff,S
1478191795.055901,0316,8,45 29 24 ff 29 24 00 ff,S
1478192367.244052,0316,8,45 29 24 ff 29 24 00 ff,S
1478192548.773011,0316,8,45 29 24 ff 29 24 00 ff,S
1478192417.738748,0316,8,45 29 24 ff 29 24 00 ff,S
1478191597.428031,0316,8,45 29 24 ff 29 24 00 ff,S
1478192586.299612,0316,8,45 29 24 ff 29 24 00 ff,S
1478192702.27026,0316,8,45 29 24 ff 29 24 00 ff,S
1478191983.640877,0316,8,45 29 24 ff 29 24 00 ff,S
1478191473.075576,0316,8,45 29 24 ff 29 24 00 ff,S
1478191348.275332,0316,8,45 29 24 ff 29 24 00 ff,S
1478192417.181046,0316,8,45 29 24 ff 29 24 00 ff,S
1478192800.960961,0316,8,45 29 24 ff 29 24 00 ff,S
1478191726.216927,0316,8,45 29 24 ff 29 24 00 ff,S
1478191615.76339,0316,8,45 29 24 ff 29 24 00 ff,S
1478191568.942198,0316,8,45 29 24 ff 29 24 00 ff,S
1478192124.739907,0316,8,45 29 24 ff 29 24 00 ff,S
1478192092.166345,0316,8,45 29 24 ff 29 24 00 ff,S
1478192383.833468,0316,8,45 29 24 ff 29 24 00 ff,S
